Corri el:
mar nov 10 11:01:54 -05 2020
begin of the script
['1G4I', '1HK0', '1IET', '1IMQ', '1LVE', '1MSI', '1ONC', '1P2P', '1PDO', '1QND', '1SSO']
analyzing 1G4I
analzying FA22A
size of 1G4I = 3925
Graph (s) |  Centrality(s)
  4.6583  |  0.3937 
  4.6200  |  0.3818 
  4.5315  |  0.3621 
  8.0445  |  0.7459 
  6.5094  |  0.3991 
  5.0496  |  0.4188 
  8.4377  |  0.4009 
  4.7513  |  0.3821 
  4.9208  |  0.3830 
  5.1005  |  0.3958 
  5.1584  |  0.3948 
  5.0611  |  0.3928 
  4.7845  |  0.3892 
  4.7503  |  0.3632 
  4.5939  |  0.3636 
  4.5725  |  0.3784 
  4.6304  |  0.3622 
  4.9662  |  0.3836 
analzying MA23L
size of 1ONC = 3197
Graph (s) |  Centrality(s)
  5.6101  |  0.7914 
  9.8971  |  1.5803 
  5.6376  |  0.8285 
  5.3549  |  0.8081 
  5.3779  |  0.8161 
  5.5903  |  0.8668 
  5.5802  |  1.1626 
  5.4852  |  0.8659 
  5.6064  |  0.8472 
  5.1775  |  0.8256 
  4.9443  |  0.7847 
  8.6568  |  1.6489 
  5.0628  |  0.8118 
  5.0242  |  0.8691 
  5.5875  |  0.8794 
  5.5620  |  0.8740 
  7.9794  |  0.8134 
  5.3568  |  0.8424 
  5.5762  |  0.8504 
  10.3418  |  1.6494 
analzying FA36Y
size of 1ONC = 3199
Graph (s) |  Centrality(s)
  9.6177  |  3.9103 
  9.5935  |  4.2936 
  10.4994  |  4.1171 
  10.3147  |  4.0532 
  10.3511  |  4.0989 
  10.4987  |  4.0132 
  9.4436  |  4.0308 
  5.2652  |  2.0360 
  5.2950  |  2.0830 
  5.1935  |  2.0460 
  5.3193  |  1.9896 
  5.1790  |  2.0204 
  5.1857  |  1.9839 
  5.2291  |  2.0624 
  5.1790  |  2.0491 
  5.1400  |  2.0128 
  5.1913  |  2.0333 
  5.0647  |  1.9362 
  9.4828  |  3.9964 
  9.7217  |  4.1776 
analyzing WT of 1ONC
size of 1ONC = 3193
Graph (s) | Centrality (all mutants 3)(s)
  5.5166  |  4.5938 
  5.3331  |  4.3028 
  5.5996  |  4.4818 
  5.5110  |  4.3428 
  5.2339  |  4.3406 
  9.4648  |  8.7524 
  10.3372  |  8.9093 
  10.2426  |  8.8380 
  10.5968  |  8.5224 
  9.8370  |  8.3220 
  5.0305  |  4.1895 
  5.1334  |  4.4079 
  5.6384  |  4.0071 
  5.5996  |  4.2145 
  5.1867  |  4.1616 
  10.3754  |  8.5046 
  9.5724  |  7.8948 
  5.2075  |  4.1710 
  5.6536  |  4.2478 
  5.6700  |  4.3152 
analyzing 1P2P
analyzing WT of 1P2P
size of 1P2P = 3515
Graph (s) | Centrality (all mutants 3)(s)
  6.7502  |  9.0152 
  6.9935  |  9.2121 
  6.6458  |  8.6879 
  6.4515  |  8.6661 
  6.4356  |  8.4912 
  11.9426  |  17.3479 
  12.0488  |  17.3221 
  12.1751  |  17.5712 
  6.5626  |  8.6828 
  7.1221  |  8.2927 
  6.4062  |  8.5427 
  6.9871  |  8.9749 
  7.1252  |  8.7919 
  6.7344  |  8.9405 
  6.9900  |  8.7511 
  6.5302  |  8.5230 
  6.3512  |  8.4767 
  6.4743  |  9.0096 
  11.3987  |  8.9369 
  7.1639  |  8.8062 
analzying HA48N
size of 1P2P = 3714
Graph (s) |  Centrality(s)
  7.1000  |  1.4102 
  6.8454  |  1.4039 
  6.8694  |  1.5390 
  7.8613  |  1.5263 
  7.7262  |  1.5764 
  7.7005  |  1.4682 
  7.0858  |  1.5058 
  7.7070  |  1.5118 
  7.7217  |  1.5380 
  7.6930  |  1.5229 
  7.1265  |  1.5200 
  6.9371  |  1.4638 
  7.1121  |  1.4845 
  12.8083  |  3.0418 
  10.5347  |  1.4991 
  7.0159  |  1.4408 
  7.0348  |  1.4447 
  6.9700  |  1.4176 
  12.2349  |  2.8104 
  12.7645  |  2.8596 
analzying HA48K
size of 1P2P = 3746
Graph (s) |  Centrality(s)
  7.4019  |  2.3649 
  14.4649  |  4.4829 
  14.0553  |  4.5432 
  14.0219  |  4.4471 
  12.9903  |  4.4655 
  13.8480  |  4.7049 
  7.8188  |  2.2486 
  13.9970  |  4.6061 
  7.8711  |  2.3090 
  7.7211  |  2.3474 
  7.7078  |  2.5021 
  7.3129  |  2.2315 
  12.0409  |  2.2747 
  6.9296  |  2.2736 
  10.0628  |  2.3392 
  7.8074  |  2.3431 
  7.4768  |  2.2305 
  7.5711  |  2.2868 
  7.8132  |  2.3124 
  7.5827  |  2.2573 
analzying HA48Q
size of 1P2P = 3709
Graph (s) |  Centrality(s)
  6.9999  |  1.4285 
  6.8055  |  1.4856 
  13.8016  |  3.0523 
  14.2322  |  3.0344 
  13.7629  |  2.8871 
  14.5578  |  2.9585 
  7.6026  |  1.4762 
  7.0026  |  1.4651 
  7.0690  |  1.5167 
  7.0333  |  1.5259 
  12.0167  |  2.9305 
  12.7670  |  2.9818 
  7.0709  |  1.5338 
  7.0294  |  1.5186 
  7.1151  |  1.5370 
  7.1121  |  1.4540 
  6.8690  |  1.4944 
  6.9165  |  1.5881 
  7.6758  |  1.5096 
  7.7583  |  1.5364 
analyzing 1PDO
analzying WA69F
size of 1PDO = 3637
Graph (s) |  Centrality(s)
  6.7629  |  1.8423 
  13.3327  |  3.4427 
  7.0776  |  1.8607 
  6.6526  |  1.7402 
  6.5285  |  1.7328 
  6.5479  |  1.8557 
  7.2223  |  1.8452 
  7.2052  |  1.7961 
  7.2358  |  1.9676 
  6.8164  |  1.7164 
  7.2863  |  1.8288 
  7.2465  |  1.8739 
  7.2324  |  1.6806 
  12.0785  |  3.5704 
  12.0940  |  3.5165 
  12.0332  |  3.3928 
  7.2665  |  1.7334 
  7.1320  |  1.7768 
  6.8678  |  1.6927 
  7.1088  |  1.8059 
analzying WA12F
size of 1PDO = 3635
Graph (s) |  Centrality(s)
  12.4333  |  5.9882 
  12.3327  |  5.6647 
  12.1404  |  5.6615 
  7.2534  |  2.9495 
  7.2398  |  2.9657 
  7.1111  |  2.9870 
  13.2072  |  6.0309 
  13.5028  |  5.8645 
  6.6580  |  2.8911 
  6.6250  |  2.9158 
  6.7312  |  2.9158 
  12.1732  |  5.7611 
  6.6680  |  2.9145 
  6.6897  |  2.9762 
  6.6770  |  2.9511 
  12.1940  |  5.8911 
  12.0601  |  5.7514 
  7.1694  |  2.8915 
  7.2522  |  2.9189 
  6.9793  |  2.9807 
analzying WA33F
size of 1PDO = 3637
Graph (s) |  Centrality(s)
  7.1650  |  2.4298 
  7.4465  |  2.5480 
  7.0822  |  2.5189 
  6.6106  |  2.4791 
  11.7261  |  4.8602 
  8.7024  |  2.5543 
  7.2170  |  2.5229 
  7.4073  |  2.5238 
  12.9944  |  5.1815 
  13.2020  |  5.0177 
  7.0613  |  2.4874 
  6.5469  |  2.5070 
  6.5710  |  2.3893 
  6.4966  |  2.3577 
  7.0399  |  2.4744 
  7.3745  |  2.3881 
  6.8814  |  2.3250 
  7.1275  |  2.5339 
  10.8346  |  2.3969 
  6.7315  |  2.4053 
analyzing WT of 1PDO
size of 1PDO = 3637
Graph (s) | Centrality (all mutants 3)(s)
  6.5554  |  8.3985 
  7.2990  |  9.0484 
  7.3196  |  8.8551 
  6.6291  |  9.0101 
  7.3173  |  9.0623 
  7.0188  |  8.8818 
  6.7395  |  8.6422 
  11.8842  |  16.9598 
  11.8918  |  12.7382 
  12.2636  |  14.7619 
  6.5625  |  8.7266 
  7.2813  |  8.7325 
  6.9060  |  8.7408 
  7.3387  |  8.8141 
  6.7201  |  8.2098 
  6.5169  |  8.3272 
  7.3422  |  8.6878 
  7.2740  |  8.6748 
  6.9386  |  8.6315 
  7.2828  |  8.9641 
analyzing 1QND
analzying CA71S
size of 1QND = 3242
Graph (s) |  Centrality(s)
  5.7791  |  1.0989 
  5.5484  |  1.0591 
  5.3823  |  1.0880 
  5.4091  |  1.1001 
  5.6928  |  1.1446 
  6.0469  |  1.1773 
  6.0256  |  1.0694 
  9.9248  |  2.2055 
  10.7568  |  2.3437 
  11.1954  |  2.3040 
  10.7335  |  2.0302 
  8.1454  |  1.0748 
  5.4691  |  1.1036 
  5.4085  |  1.0634 
  5.9105  |  1.1661 
  6.0037  |  1.1050 
  5.9726  |  1.1384 
  5.9491  |  1.0944 
  10.4862  |  2.2318 
  11.1590  |  2.3279 
analyzing WT of 1QND
size of 1QND = 3263
Graph (s) | Centrality (all mutants 1)(s)
  11.5809  |  29.1007 
  5.7029  |  22.1704 
  10.3503  |  31.0918 
  5.4887  |  19.1740 
  5.8253  |  19.4582 
  5.8493  |  19.2848 
  10.6904  |  21.0457 
  5.5059  |  21.0275 
  6.1381  |  20.3587 
  6.0848  |  20.9195 
  5.6710  |  20.0090 
  5.4579  |  19.8333 
  6.1682  |  21.0622 
  6.3516  |  20.2121 
  5.4770  |  20.8206 
  6.0516  |  21.5547 
  5.7543  |  20.6068 
  6.0960  |  20.1763 
  5.6572  |  20.1425 
  10.3108  |  38.1466 
analyzing 1SSO
analzying IA29V
size of 1SSO = 2499
Graph (s) |  Centrality(s)
  5.2202  |  1.3924 
  5.1405  |  1.3748 
  5.1103  |  1.3824 
  5.1623  |  1.4313 
  5.1160  |  1.3840 
  3.0629  |  0.7522 
  3.0832  |  0.7503 
  3.0507  |  0.7125 
  5.4714  |  1.4445 
  5.5076  |  1.3923 
  5.2537  |  1.4135 
  5.6023  |  1.5205 
  5.6895  |  1.4903 
  5.5738  |  1.4630 
  5.3549  |  1.4379 
  5.1529  |  1.4260 
  5.1199  |  1.4282 
  5.1350  |  1.4029 
  5.5499  |  1.4143 
  2.9667  |  0.7224 
analyzing WT of 1SSO
size of 1SSO = 2499
Graph (s) | Centrality (all mutants 1)(s)
  3.0146  |  0.6849 
  3.0503  |  0.6259 
  3.1389  |  0.6607 
  3.0000  |  0.6491 
  3.1054  |  0.6797 
  4.8804  |  1.3368 
  5.3691  |  1.3352 
  5.4850  |  1.2768 
  5.6654  |  1.2386 
  5.6742  |  1.3841 
  5.7229  |  1.3282 
  4.6002  |  0.6526 
  2.8511  |  0.6354 
  2.8324  |  0.5826 
  5.1526  |  1.3240 
  5.1680  |  1.2883 
  5.1111  |  1.2949 
  5.1103  |  1.3168 
  5.6749  |  1.3402 
  5.6395  |  1.3133 
End of script
12154.113754034042
Finalicé la ejecución del script 

mar nov 10 14:24:57 -05 2020
