ID	D_4HR_REP1	D_4HR_REP2	D_4HR_REP3	D_6HR_REP1	D_6HR_REP2	D_6HR_REP3	D_8HR_REP1	D_8HR_REP2	D_8HR_REP3
YPR194C	383.5553344415	542.4523606381	543.4413874822	3216.7207638531	4246.9966447748	4423.2403945971	92.4302048563	105.4192436953	158.5901263424
YDR278C	5.1140711259	0.8243956849	0	0	2.8300732862	0	0	0	0
YOR073W-A	0	0	2.8012442654	0	2.8300732862	0	0	0	0
YML054C-A	0	0	0	0	2.8300732862	0	0	0	0
YHR054W-A	0	0	0	0	0	2.6775062921	0	0	0
YDL159W-A	0	0	0	0	0	2.6775062921	0	0	0
YCR097W-A	0	2.4731870546	0	15.3607452206	20.7538707652	4.0162594382	0.400130757	1.1335402548	0
YOR393W	0	0	0	0	0.9433577621	1.3387531461	0	0	0
YOL046C	0	0	1.4006221327	0	0.9433577621	1.3387531461	0	0	0
YGR068W-A	1.2785177815	0	0	0	2.8300732862	10.7100251685	0.400130757	0	0
YER133W-A	3.8355533444	0	1.4006221327	0	1.8867155241	0	0	0	0
YLR184W	0	0	1.4006221327	0.9035732483	0.9433577621	0	0	0	0
YKL217W	138.0799203989	154.1619930689	170.8759001877	2353.8083117521	2682.9094752864	3345.5441120152	112.8368734609	94.0838411474	220.9417999471
YOR120W	1784.8108229345	1520.1856428823	740.9291081909	41693.5803950773	44073.6746432422	36829.0990482344	2346.3667587759	1879.4097424394	2103.691248576
YGR292W	43.46960457	33.8002230793	26.611820521	234.0254713028	294.3276217614	270.428135505	14.4047072503	18.1366440766	18.9765963145
YMR206W	112.5095647695	128.6057268382	74.2329730324	1033.6877960247	1418.8100741318	2037.5822883102	104.8342583218	104.2857034405	70.4845005966
YJR150C	259.5391096388	598.5112672086	3249.4433478316	3017.934649233	3427.2187495484	2225.0077287592	18.4060148199	286.7856844615	280.5825312212
YPL200W	1.2785177815	0	0	8.1321592345	20.7538707652	18.7425440449	2.4007845417	0	0
YDR039C	0	0	0	0	0	1.3387531461	0	0	0
YGR290W	1.2785177815	0	0	0	0	1.3387531461	0	0	0
YGR224W	69.0399601995	173.1230938207	182.0808772492	849.358853377	1137.6894610392	978.6285497731	53.2173906748	94.0838411474	78.6173275885
YDL062W	0	0.8243956849	1.4006221327	3.6142929931	6.6035043344	6.6937657303	0.8002615139	0	0
YDL049C	184.1065605319	244.0211227186	177.8790108511	1602.0353691887	1420.6967896559	871.528298088	100.4328199954	103.1521631858	98.9493950683
YBR296C	163.6502760284	283.5921155919	95.2423050226	1319.2169424791	3097.0435328289	1187.4740405592	78.4256283629	87.2825996187	281.9380023865
YIL177C	1.2785177815	1.6487913697	0	0	4.7167888103	2.6775062921	0.400130757	0	0
YPL171C	150.8650982137	159.108367178	127.4566140744	1288.4954520378	1588.6144713018	1709.5877675244	116.4380502735	134.8912903198	146.3908858545
YHL046C	7.6711066888	8.2439568486	116.2516370129	57.8286878895	46.2245303407	124.504042584	4.0013075695	11.3354025479	5.4218846613
YBR226C	5.1140711259	2.4731870546	0	0.9035732483	0	0	0	0	0
YLR299C-A	0	0	2.8012442654	0	0.9433577621	0	0	0	0
YOR135C	6.3925889074	0.8243956849	0	0.9035732483	0	0	0	0	0
YLL019W-A	0	0	0	0	0.9433577621	0	0	0	0
YBL077W	0	0	0	0	0.9433577621	0	0	0	0
YPL282C	0	0	0	0	0.9433577621	0	0	0	0
YBR223W-A	0	0	0	0	0.9433577621	0	0	0	0
YCL067C	0	0	0	0	0.9433577621	0	0	0	0
YHR214C-E	0	0	0	0	0.9433577621	0	0	0	0
YML031C-A	0	0	0	0	0.9433577621	0	0	0	0
YCL076W	0	0	0	0	0.9433577621	0	0	0	0
YIL115W-A	0	0.8243956849	0	0	0.9433577621	0	0	0	0
YDR193W	0	1.6487913697	0	0	0.9433577621	0	0	0	0
YLL066W-A	3.8355533444	0	1.4006221327	0.9035732483	0	0	0	0	0
YLR269C	0	0.8243956849	1.4006221327	0.9035732483	0	0	0	0	0
YHR073C-B	1.2785177815	0.8243956849	0	0.9035732483	0	0	0	0	0
YPR014C	0	0	0	0.9035732483	0	0	0	0	0
YLR163W-A	0	0	0	0.9035732483	0	0	0	0	0
YAL016C-B	0	0	0	0.9035732483	0	0	0	0	0
YJL075C	0	0	0	0.9035732483	0	0	0	0	0
YAL064C-A	0	0.8243956849	0	0.9035732483	0	0	0	0	0
YOL164W-A	0	0	0	4.5178662414	0.9433577621	0	0.400130757	0	0
YJL105W	150.8650982137	124.4837484139	550.4444981456	913.5125540044	711.29175259	842.0757288746	73.6240592795	89.5496801283	90.8165680764
YJL169W	0	4.9463741092	2.8012442654	4.5178662414	3.7734310482	12.0487783146	0.8002615139	0	1.3554711653
